0.9921::teamplaysinleague(georgewashingtonuniversityselliottschool, international).
0.9999::teamplaysinleague(columbusbluejackets, nhl).
0.9999::teamplaysinleague(nyislanders, nhl).
0.9375::teamplaysinleague(longislandublackbirds, ncaa).
0.9375::teamplaysinleague(ucsandiego, international).
0.9375::teamplaysinleague(belgradeuniversity, international).
1.0::teamplaysinleague(armyblackknightsfootball, ncaa).
1.0::teamplaysinleague(louiscardinals, mlb).
1.0::teamplaysinleague(habs, nhl).
0.9687::teamplaysinleague(americanuniversitysschool, international).
0.9843::teamplaysinleague(tuftsuniversitysfletcherschool, international).
0.9687::teamplaysinleague(niagaracollege, international).
0.9999::teamplaysinleague(carolina, nfl).
0.9999::teamplaysinleague(islanders, nhl).
0.9375::teamplaysinleague(smississippigoldeneagles, ncaa).
1.0::teamplaysinleague(gonzagabulldogs, ncaa).
0.9990::teamplaysinleague(calstatelosangelesgoldeneagles, ncaa).
0.9843::teamplaysinleague(floridaatlanticuniversity, international).
1.0::teamplaysinleague(bemidjistatebeavers, ncaa).
0.9843::teamplaysinleague(westcoastconference, ncaa).
0.9687::teamplaysinleague(miamimarlins, mlb).
0.9921::teamplaysinleague(zimbabweopenuniversity, international).
0.9995::teamplaysinleague(westgeorgiawolves, ncaa).
0.9999::teamplaysinleague(milwaukeebraves, mlb).
0.9999::teamplaysinleague(washingtonuniversity, international).
0.9999::teamplaysinleague(californiastateuniversity, international).
0.9990::teamplaysinleague(newjerseyinstituteoftechnologyhighlanders, ncaa).
0.9999::teamplaysinleague(kcchiefs, nfl).
0.9999::teamplaysinleague(twins, mlb).
0.9375::teamplaysinleague(johnshopkinsuniversityschool, international).
0.9999::teamplaysinleague(santaclarabroncos, ncaa).
0.9843::teamplaysinleague(mountstmarysmountaineers, ncaa).
1.0::teamplaysinleague(quinnipiacbobcats, ncaa).
0.9980::teamplaysinleague(americanuniversity, international).
0.9990::teamplaysinleague(cameronaggies, ncaa).
0.9375::teamplaysinleague(southernmississippieagles, ncaa).
1.0::teamplaysinleague(oregonstatebeavers, ncaa).
0.9921::teamplaysinleague(osu, international).
0.9375::teamplaysinleague(jacksonvillestgamecocks, ncaa).
1.0::teamplaysinleague(houstontexans, nfl).
1.0::teamplaysinleague(clevelandstatevikings, ncaa).
0.9960::teamplaysinleague(mooreschool, international).
1.0::teamplaysinleague(indians, mlb).
1.0::teamplaysinleague(brownbears, ncaa).
1.0::teamplaysinleague(troyuniversity, ncaa).
1.0::teamplaysinleague(buffalobulls, ncaa).
1.0::teamplaysinleague(towsontigers, ncaa).
0.9960::teamplaysinleague(georgewashingtonuniversityselliottschool, international).
1.0::teamplaysinleague(gardnerwebbbulldogs, ncaa).
0.9375::teamplaysinleague(seattlepilots, mlb).
0.9375::teamplaysinleague(arizonastsundevils, ncaa).
0.9999::teamplaysinleague(collegeofnewjersey, ncaa).
0.9997::teamplaysinleague(uncwilmingtonseahawks, ncaa).
1.0::teamplaysinleague(washingtonstate, ncaa).
0.9687::teamplaysinleague(usnationalwarcollege, international).
0.9375::teamplaysinleague(sussexuniversity, international).
0.9375::teamplaysinleague(washingtonmystics, wnba).
1.0::teamplaysinleague(clevelandstvikings, ncaa).
0.9990::teamplaysinleague(northdakotafightingsioux, ncaa).
1.0::teamplaysinleague(westernconnecticutcolonials, ncaa).
1.0::teamplaysinleague(wrightstraiders, ncaa).
0.9921::teamplaysinleague(universitycollegelondon, international).
0.9375::teamplaysinleague(southwesternoklahomastatebulldogs, ncaa).
0.9995::teamplaysinleague(dallasbaptistpatriots, ncaa).
0.9687::teamplaysinleague(fairfielduniversity, international).
1.0::teamplaysinleague(carolinapanthers, nfl).
0.9375::teamplaysinleague(flainternationalgoldenpanthers, ncaa).
0.9995::teamplaysinleague(utahvalleywolverines, ncaa).
0.9980::teamplaysinleague(bclions, cfl).
0.9997::teamplaysinleague(seoulnationaluniversity, international).
1.0::teamplaysinleague(sandiegotoreros, ncaa).
1.0::teamplaysinleague(oralrobertsgoldeneagles, ncaa).
0.9687::teamplaysinleague(nankaiuniversity, international).
0.9687::teamplaysinleague(yalelawschool, international).
0.9999::teamplaysinleague(nyu, international).
0.9960::teamplaysinleague(necgear, ncaa).
1.0::teamplaysinleague(idahostbengals, ncaa).
0.9687::teamplaysinleague(stlouisbillikens, ncaa).
0.9999::teamplaysinleague(floridaintlgoldenpanthers, nhl).
0.9375::teamplaysinleague(monmouthcollege, international).
0.9999::teamplaysinleague(bills, nfl).
1.0::teamplaysinleague(kansascitychiefs, nfl).
0.9375::teamplaysinleague(ballstateuniversity, international).
1.0::teamplaysinleague(toledorockets, ncaa).
1.0::teamplaysinleague(elonphoenix, ncaa).
1.0::teamplaysinleague(lipscombbisons, ncaa).
0.9990::teamplaysinleague(louisianastateshreveportpilots, ncaa).
1.0::teamplaysinleague(wyomingcowboys, ncaa).
1.0::teamplaysinleague(vanderbiltcommodores, ncaa).
0.9990::teamplaysinleague(rhodeislandanchormen, ncaa).
0.9990::teamplaysinleague(stcloudstatehuskies, ncaa).
0.9687::teamplaysinleague(nanyangtechnologicaluniversity, international).
0.9960::teamplaysinleague(faulknereagles, ncaa).
1.0::teamplaysinleague(chicagocubsbaseball, mlb).
1.0::teamplaysinleague(goldenstatewarriorsnba, nba).
0.9990::teamplaysinleague(rollinscollege, international).
0.9995::teamplaysinleague(mitengineers, ncaa).
1.0::teamplaysinleague(stlouisbillikens, ncaa).
1.0::teamplaysinleague(ohiodominicanpanthers, ncaa).
0.9687::teamplaysinleague(radforduniversity, international).
1.0::teamplaysinleague(redsox, mlb).
0.9921::teamplaysinleague(xavieruniversity, international).
1.0::teamplaysinleague(newhampshirewildcats, ncaa).
0.9375::teamplaysinleague(rmituniversity, international).
0.9997::teamplaysinleague(fayettevillestatebroncos, ncaa).
0.9990::teamplaysinleague(gracelandyellowjackets, ncaa).
1.0::teamplaysinleague(thecitadelbulldogs, ncaa).
1.0::teamplaysinleague(lafayettecollege, ncaa).
1.0::teamplaysinleague(houstonastros, mlb).
0.9375::teamplaysinleague(northeastwisconsintechnicalheadwear, ncaa).
0.9843::teamplaysinleague(texasaminternationaluniversity, international).
1.0::teamplaysinleague(bostonuniversityterriers, ncaa).
0.9960::teamplaysinleague(ohiovalleyconference, ncaa).
0.9990::teamplaysinleague(rosebowlgear, ncaa).
1.0::teamplaysinleague(kentstgoldenflashes, ncaa).
0.9990::teamplaysinleague(kutztowngoldenbears, ncaa).
1.0::teamplaysinleague(houstoncomets, wnba).
1.0::teamplaysinleague(setonhallpirates, ncaa).
0.9993::teamplaysinleague(cardinals, nfl).
1.0::teamplaysinleague(northtexasmeangreen, ncaa).
0.9990::teamplaysinleague(calstatemontereybayotters, ncaa).
1.0::teamplaysinleague(utahutes, ncaa).
1.0::teamplaysinleague(orlandomagic, nba).
1.0::teamplaysinleague(georgiabulldogs, ncaa).
0.9995::teamplaysinleague(judolphins, ncaa).
0.9843::teamplaysinleague(kingscollegelondon, international).
0.9960::teamplaysinleague(lenoirrhynebears, ncaa).
0.9995::teamplaysinleague(alaskafairbanksnanooks, ncaa).
1.0::teamplaysinleague(canisiusgoldengriffins, ncaa).
0.9995::teamplaysinleague(westtexasaandmbuffalo, ncaa).
0.9999::teamplaysinleague(rutgers, international).
