,Entity,Iteration,Probability,Relation,Value
0,concept:athlete:freddie_jones,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
1,concept:athlete:jj_redick,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
2,concept:sportsteam:army_black_knights_football,850,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
3,concept:sportsteam:u_s__military_academy,850,0.96875,concept:teamplaysinleague,concept:sportsleague:national
4,concept:sportsteam:loyola_illinois_ramblers,850,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
5,concept:athlete:ballack,850,0.984375,concept:athleteplaysforteam,concept:sportsteam:germany
6,concept:sportsteam:sfa_lumberjacks,850,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
7,concept:sportsteam:prairie_view_aandm_panthers,850,0.96875,concept:teamplaysinleague,concept:sportsleague:ncaa
8,concept:sportsteam:texas_a_m,850,0.9990234375,concept:teamalsoknownas,concept:sportsteam:state_university
9,concept:sportsteam:texas_a_m,850,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
10,concept:athlete:leandro_barbosa,850,0.9688417193848359,concept:athleteledsportsteam,concept:sportsteam:phoenix_suns
11,concept:athlete:leandro_barbosa,850,0.9980468753665702,concept:athleteplaysforteam,concept:sportsteam:phoenix_suns
12,concept:sportsteam:south_dakota_state,850,0.99609375,concept:teamalsoknownas,concept:sportsteam:state_university
13,concept:sportsteam:niners,850,0.96875,concept:teamplaysagainstteam,concept:sportsteam:rams
14,concept:sportsteam:niners,850,0.96875,concept:teamplayssport,concept:sport:football
15,concept:athlete:jake_voskuhl,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
16,concept:athlete:donell_taylor,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
17,concept:athlete:clifford_robinson,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
18,concept:athlete:antoine_wright,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
19,concept:sportsteam:san_jose_state,850,1.0,concept:teamplayssport,concept:sport:basketball
20,concept:sportsteam:mit,850,0.9375,concept:teamplaysinleague,concept:sportsleague:national
21,concept:sportsteam:tcu,850,0.9375,concept:teamplaysagainstteam,concept:sportsteam:boise_state
22,concept:sportsteam:tcu,850,0.984375,concept:teamplayssport,concept:sport:basketball
23,concept:sportsteam:wake_forest,850,0.96875,concept:teamplaysagainstteam,concept:sportsteam:tar_heels
