,Entity,Iteration,Probability,Relation,Value
0,concept:athlete:freddie_jones,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
1,concept:athlete:jj_redick,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
2,concept:sportsteam:army_black_knights_football,850,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
3,concept:sportsteam:u_s__military_academy,850,0.96875,concept:teamplaysinleague,concept:sportsleague:national
4,concept:sportsteam:south_carolina_state,850,0.9375,concept:teamplaysincity,concept:city:orangeburg
5,concept:sportsteam:loyola_illinois_ramblers,850,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
6,concept:athlete:ballack,850,0.984375,concept:athleteplaysforteam,concept:sportsteam:germany
7,concept:sportsteam:sfa_lumberjacks,850,1.0,concept:teamplaysinleague,concept:sportsleague:ncaa
8,concept:sportsteam:prairie_view_aandm_panthers,850,0.96875,concept:teamplaysinleague,concept:sportsleague:ncaa
9,concept:sportsteam:texas_a_m,850,0.9990234375,concept:teamalsoknownas,concept:sportsteam:state_university
10,concept:sportsteam:texas_a_m,850,0.9999999701976776,concept:teamplaysincity,concept:city:college_station
11,concept:sportsteam:texas_a_m,850,0.9375,concept:teamplaysinleague,concept:sportsleague:ncaa
12,concept:athlete:leandro_barbosa,850,0.9688417193848359,concept:athleteledsportsteam,concept:sportsteam:phoenix_suns
13,concept:athlete:leandro_barbosa,850,0.9980468753665702,concept:athleteplaysforteam,concept:sportsteam:phoenix_suns
14,concept:sportsteam:washington___lee,850,0.9921875,concept:teamplaysincity,concept:city:lexington
15,concept:sportsteam:south_dakota_state,850,0.99609375,concept:teamalsoknownas,concept:sportsteam:state_university
16,concept:sportsteam:niners,850,0.96875,concept:teamplaysagainstteam,concept:sportsteam:rams
17,concept:sportsteam:niners,850,0.96875,concept:teamplayssport,concept:sport:football
18,concept:athlete:jake_voskuhl,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
19,concept:athlete:donell_taylor,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
20,concept:athlete:clifford_robinson,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
21,concept:athlete:antoine_wright,850,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
22,concept:sportsteam:san_jose_state,850,0.99993896484375,concept:teamplaysincity,concept:city:san_jose
23,concept:sportsteam:san_jose_state,850,1.0,concept:teamplayssport,concept:sport:basketball
