,Entity,Iteration,Probability,Relation,Value
0,concept:sportsteam:george_washington_university_s_elliott_school,1070,0.9921875,concept:teamplaysinleague,concept:sportsleague:international
1,concept:athlete:henry001,1070,1.0,concept:athletehomestadium,concept:stadiumoreventvenue:camp_nou
2,concept:athlete:henry001,1070,1.0,concept:athleteinjuredhisbodypart,concept:muscle:shoulder
3,concept:athlete:henry001,1070,1.0,concept:athleteinjuredhisbodypart,concept:bodypart:shoulder
4,concept:athlete:henry001,1070,1.0,concept:athleteinjuredhisbodypart,concept:bodypart:hands
5,concept:athlete:henry001,1070,0.99609375,concept:athleteinjuredhisbodypart,concept:muscle:eyes
6,concept:athlete:henry001,1070,0.99609375,concept:athleteinjuredhisbodypart,concept:bodypart:eyes
7,concept:athlete:henry001,1070,0.9375,concept:athleteinjuredhisbodypart,concept:bodypart:arm
8,concept:athlete:henry001,1070,0.9375,concept:athleteinjuredhisbodypart,concept:artery:arm
9,concept:athlete:henry001,1070,0.96875,concept:athleteplayssportsteamposition,concept:sportsteamposition:left_center
10,concept:athlete:henry001,1070,0.962545458029369,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
11,concept:athlete:henry001,1070,0.9375,concept:athleteplayssportsteamposition,concept:sportsteamposition:right_center
12,concept:sportsteam:columbus_bluejackets,1070,0.9999995414838423,concept:teamplaysinleague,concept:sportsleague:nhl
13,concept:sportsgame:super_bowl_xlii,1070,0.96875,concept:sportsgameteam,concept:sportsteam:new_england_patriots
14,concept:sportsgame:super_bowl_xlii,1070,0.9990234375,concept:sportsgamewinner,concept:sportsteam:new
15,concept:athlete:st__louis_cardinals_catchers_yadier_molina,1070,0.9375,concept:athleteinjuredhisbodypart,concept:nerve:hand
16,concept:athlete:st__louis_cardinals_catchers_yadier_molina,1070,0.9375,concept:athleteinjuredhisbodypart,concept:visualizableobject:hand
17,concept:athlete:st__louis_cardinals_catchers_yadier_molina,1070,1.0,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
18,concept:athlete:roy,1070,0.9921875,concept:athleteinjuredhisbodypart,concept:muscle:eyes
19,concept:athlete:roy,1070,0.9921875,concept:athleteinjuredhisbodypart,concept:bodypart:eyes
20,concept:athlete:roy,1070,0.9375,concept:athleteinjuredhisbodypart,concept:nerve:hand
21,concept:athlete:roy,1070,0.9375,concept:athleteinjuredhisbodypart,concept:visualizableobject:hand
22,concept:athlete:ben,1070,1.0,concept:athleteinjuredhisbodypart,concept:nerve:elbow
23,concept:athlete:ben,1070,1.0,concept:athleteinjuredhisbodypart,concept:bodypart:shoulder
24,concept:athlete:ben,1070,1.0,concept:athleteinjuredhisbodypart,concept:muscle:elbow
25,concept:athlete:ben,1070,1.0,concept:athleteinjuredhisbodypart,concept:bodypart:elbow
26,concept:athlete:ben,1070,1.0,concept:athleteinjuredhisbodypart,concept:muscle:shoulder
27,concept:athlete:ben,1070,1.0,concept:athleteinjuredhisbodypart,concept:bodypart:hands
28,concept:athlete:ben,1070,0.9999001712100446,concept:athleteinjuredhisbodypart,concept:muscle:eyes
29,concept:athlete:ben,1070,0.9999001712100446,concept:athleteinjuredhisbodypart,concept:bodypart:eyes
30,concept:athlete:ben,1070,0.985337962686694,concept:athleteinjuredhisbodypart,concept:bodypart:knee
31,concept:athlete:ben,1070,0.96875,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
32,concept:athlete:ben,1070,0.9375,concept:athleteplayssportsteamposition,concept:sportsteamposition:right_center
33,concept:athlete:ben,1070,0.9999999997367411,concept:teammate,concept:athlete:santonio_holmes
34,concept:athlete:player,1070,0.9375,concept:athleteplayssport,concept:sport:golfing
35,concept:sportsteam:bowling_green_state,1070,0.9998779296875,concept:teamalsoknownas,concept:sportsteam:state_university
36,concept:sportsteam:bowling_green_state,1070,1.0,concept:teamplaysincity,concept:city:bowling_green
37,concept:athlete:vinny_lecavalier,1070,1.0,concept:athleteflyouttosportsteamposition,concept:sportsteamposition:center
38,concept:athlete:vinny_lecavalier,1070,1.0,concept:athletehomestadium,concept:stadiumoreventvenue:st_pete_times_forum
39,concept:coach:jerry_sandusky,1070,0.998046875,concept:coachesteam,concept:sportsteam:penn_state
40,concept:sportsteam:hong_kong_polytechnic,1070,0.9375,concept:teamalsoknownas,concept:sportsteam:state_university
41,concept:sportsgame:n2011_season,1070,0.96875,concept:sportsgamewinner,concept:sportsteam:red_sox_this_season
42,concept:athlete:delonte_west,1070,1.0,concept:athletecoach,concept:coach:mike_brown
43,concept:athlete:delonte_west,1070,1.0,concept:athleteledsportsteam,concept:sportsteam:cavaliers
44,concept:athlete:delonte_west,1070,1.0,concept:athleteplaysforteam,concept:sportsteam:cavs
45,concept:athlete:delonte_west,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
46,concept:athlete:chris_byrd,1070,1.0,concept:athleteplayssport,concept:sport:boxing
47,concept:coach:derek_fisher,1070,0.9961152069936985,concept:athleteledsportsteam,concept:sportsteam:los_angeles_lakers
48,concept:coach:derek_fisher,1070,0.9998488425225504,concept:athleteplaysforteam,concept:sportsteam:los_angeles_lakers
49,concept:coach:derek_fisher,1070,1.0,concept:athleteplaysinleague,concept:sportsleague:nba
50,concept:coach:derek_fisher,1070,0.9375,concept:athleteplayssportsteamposition,concept:sportsteamposition:player
51,concept:coach:derek_fisher,1070,1.0,concept:coachesinleague,concept:sportsleague:nba
52,concept:athlete:darrent_williams,1070,1.0,concept:athletehomestadium,concept:stadiumoreventvenue:invesco_field
53,concept:athlete:darrent_williams,1070,0.9921875,concept:athleteplaysforteam,concept:sportsteam:broncos
54,concept:athlete:aaron,1070,0.99609375,concept:athleteinjuredhisbodypart,concept:muscle:eyes
55,concept:athlete:aaron,1070,0.99609375,concept:athleteinjuredhisbodypart,concept:bodypart:eyes
56,concept:athlete:aaron,1070,0.9257327536003068,concept:athleteplayssport,concept:sport:baseball
